country_name,eci_rank1998,eci1998,gini1998,eci_rank1999,eci1999,gini1999,eci_rank2000,eci2000,gini2000,eci_rank2001,eci2001,gini2001,eci_rank2002,eci2002,gini2002,eci_rank2003,eci2003,gini2003,eci_rank2004,eci2004,gini2004,eci_rank2005,eci2005,gini2005,eci_rank2006,eci2006,gini2006,eci_rank2007,eci2007,gini2007,eci_rank2008,eci2008,gini2008,eci_rank2009,eci2009,gini2009,eci_rank2010,eci2010,gini2010,eci_rank2011,eci2011,gini2011,eci_rank2012,eci2012,gini2012,eci_rank2013,eci2013,gini2013,eci_rank2014,eci2014,gini2014,eci_rank2015,eci2015,gini2015,eci_rank2016,eci2016,gini2016,eci_rank2017,eci2017,gini2017,eci_rank2018,eci2018,gini2018,eci_rank2019,eci2019,gini2019,eci_rank2020,eci2020,gini2020,incpp1998,incpp1999,incpp2000,incpp2001,incpp2002,incpp2003,incpp2004,incpp2005,incpp2006,incpp2007,incpp2008,incpp2009,incpp2010,incpp2011,incpp2012,incpp2013,incpp2014,incpp2015,incpp2016,incpp2017,incpp2018,incpp2019,incpp2020
Afghanistan,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,120,-1.302367,0,118,-1.2603886,0,0,0,0,0,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2110.239384,2168.133765,2078.595086
Albania,,,0,,,0,,,0,,,0,,,31.700001,,,0,,,0,,,30.6,,,0,,,0,57,0.11562569,30,39,0.49012744,0,43,0.41087556,0,54,0.182004,0,77,-0.41593057,29,76,-0.33739296,0,76,-0.26546013,34.599998,80,-0.36621195,32.799999,78,-0.38452804,33.700001,83,-0.43946368,33.099998,75,-0.36294252,30.1,80,-0.45100826,30.1,78,-0.41379714,29.4,3021.179604,3471.646616,3861.333006,4300.222735,4661.402695,5000.295651,5427.767129,5865.291354,6565.633374,7284.166538,8228.354576,8813.51676,9628.640112,10207.75946,10526.25011,10570.96604,11259.30368,11658.8949,12078.79933,12770.99186,13498.18461,14407.43765,14064.03861
Algeria,73,-1.094947,0,84,-1.2897874,0,88,-1.385478,0,90,-1.2348164,0,92,-1.2572503,0,90,-1.2452108,0,94,-1.1496191,0,97,-1.222392,0,101,-1.2477897,0,108,-1.2755361,0,113,-1.2833705,0,114,-1.4484117,0,116,-1.550518,0,119,-1.3543273,27.6,125,-1.7167007,0,125,-1.5438044,0,127,-1.6088753,0,120,-1.3330818,0,119,-1.3824943,0,117,-1.2010298,0,114,-1.1809967,0,113,-1.1930481,0,106,-1.0306108,0,7878.206579,8130.387872,8510.359279,8840.674165,9354.221725,10088.08677,10653.34303,11478.02805,11861.16606,12392.50592,12714.16166,12768.99372,13141.12026,13543.59872,13347.3628,13104.7371,13058.12457,12071.81418,11685.45142,11809.48303,12007.77471,12120.40637,11452.22662
Angola,84,-1.4397331,0,92,-2.0006032,0,96,-2.1451972,52,101,-1.8126707,0,103,-1.919562,0,102,-1.9540637,0,103,-1.545599,0,102,-1.4123887,0,110,-1.7792218,0,113,-1.7169853,0,120,-1.8883891,42.700001,113,-1.4464614,0,111,-1.1983093,0,100,-0.86591589,0,119,-1.3908858,0,116,-1.1870438,0,122,-1.3109956,0,121,-1.3565925,0,118,-1.3638707,0,119,-1.3327894,0,120,-1.2667538,51.299999,117,-1.2293599,0,105,-1.0138222,0,3210.082309,3220.724746,3285.953416,3388.148688,3782.892225,3839.572827,4223.637787,4835.669522,5364.437663,6056.779187,6615.114983,6471.284879,6586.465819,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7043.95536,6882.279123,6367.437317
Argentina,36,0.24992727,50.700001,37,0.24530983,49.799999,37,0.26245704,51.099998,39,0.23737362,53.299999,47,0.11321966,53.799999,46,0.085745998,50.900002,45,0.12509188,48.400002,50,0.048533041,47.700001,48,0.17146558,46.299999,52,0.19970407,46.200001,52,0.23265749,44.900002,51,0.22903831,43.700001,53,0.21082425,43.599998,56,0.14319806,42.599998,54,0.15070412,41.299999,56,0.21175353,40.900002,57,0.20172703,41.599998,56,0.15129933,0,60,0.049933374,42,60,-0.0095824,41.099998,62,-0.048137512,41.299999,64,-0.11542335,42.900002,64,-0.16604525,42.299999,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23294.09868,23007.83659,20787.85787
Armenia,,,0,,,36.200001,,,0,,,35.400002,,,34.799999,,,33,,,37.5,,,36,,,29.700001,,,31.200001,,,29.200001,,,28,,,30,,,29.4,,,29.6,50,0.30756369,30.6,50,0.25096154,31.5,52,0.18874,32.400002,61,0.045735035,32.5,64,-0.059520699,33.599998,68,-0.1913062,34.400002,74,-0.33047739,30,68,-0.2756165,25.1,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13549.52242,14924.77693,14105.91125
Australia,28,0.61552393,0,31,0.50369662,0,33,0.43064067,0,40,0.22398847,33.5,46,0.12330597,0,44,0.15010662,33.5,48,0.043780051,33.099998,51,0.040561352,0,57,-0.059950933,0,63,-0.057311304,0,68,-0.097494222,35.400002,69,-0.20942234,0,74,-0.32445985,34.700001,78,-0.44384462,0,73,-0.32636592,0,77,-0.35598353,0,83,-0.36688983,34.400002,89,-0.49138317,0,82,-0.46435583,33.700001,82,-0.43158874,0,85,-0.51096708,34.299999,82,-0.50569427,0,83,-0.54783499,0,24377.41786,25468.21831,26521.0784,27626.05997,29016.67834,30106.2907,31746.53245,33018.16322,34822.97516,36628.96879,37517.85385,40306.64278,39363.61806,42018.11794,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51909.0151,53066.49099
Austria,8,1.4928491,31.299999,8,1.504259,29.700001,8,1.5194979,29,8,1.6060215,0,8,1.6403896,0,8,1.6203704,29.5,7,1.6866971,29.799999,7,1.6645021,28.700001,8,1.6435364,29.6,7,1.5603487,30.6,7,1.5336313,30.4,9,1.5364474,31.5,9,1.5869001,30.299999,9,1.6255733,30.799999,10,1.5834209,30.5,10,1.5739201,30.799999,9,1.6009521,30.5,9,1.5972903,30.5,9,1.5717521,30.799999,8,1.6043422,29.700001,7,1.5928817,30.799999,7,1.6273394,30.200001,7,1.6262045,29.799999,26675.65024,27606.48303,29381.68488,29708.49357,31178.69333,32145.87051,33774.01809,35013.71404,37659.73297,39435.60574,41316.22518,40918.5201,42007.29375,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,59704.22338,57258.69023
Azerbaijan,,,0,,,0,,,0,59,-0.23915747,36.5,62,-0.44204208,25.299999,69,-0.56891489,26.799999,75,-0.66009623,26.6,77,-0.61039871,26.6,88,-0.70541734,0,90,-0.6687656,0,109,-1.1693257,0,112,-1.2936965,0,112,-1.2729309,0,96,-0.79185915,0,101,-0.86628586,0,109,-0.95420486,0,113,-0.95857739,0,98,-0.68857539,0,98,-0.79521137,0,98,-0.75239682,0,104,-0.89413255,0,105,-0.97526538,0,98,-0.87615931,0,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461,14495.65697
Bangladesh,87,-1.7610517,0,89,-1.6592251,0,87,-1.3289126,33.400002,93,-1.3429097,0,91,-1.2326133,0,94,-1.3211406,0,96,-1.1979603,0,94,-1.0796239,33.200001,96,-1.0457072,0,94,-0.74196106,0,95,-0.69926965,0,95,-0.72933918,0,105,-0.96101695,32.099998,107,-0.97091097,0,109,-1.003783,0,108,-0.9448548,0,104,-0.791619,0,106,-0.81559491,0,99,-0.79679465,32.400002,102,-0.86040074,0,102,-0.80793375,0,97,-0.75976533,0,97,-0.87468082,0,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776083,5247.694707,5699.078147,5904.567375
